入网时间,套餐价格,每月流量,每月话费,每月通话时长,欠费金额,欠费月份数
41.0,159.0,81.6360677083,39.8583333333,1073.76388889,0.0,0.0
32.0,159.0,0.0,57.0,0.0,0.0,0.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
26.0,159.0,0.0,0.0,0.0,0.0,0.0
19.0,389.0,992.589029948,389.0,33.7861111111,389.0,1.0
16.0,39.0,4.05126953125,45.4,375.236111111,13.4,1.0
19.0,389.0,2124.73763021,411.07,1129.10833333,0.0,0.0
43.0,159.0,24.7578125,64.88,328.861111111,0.0,0.0
13.0,89.0,0.0,0.0,0.0,0.0,0.0
65.0,389.0,355.410481771,399.0,751.919444444,2104.66,8.0
27.0,389.0,196.246419271,0.0,92.7916666667,0.0,0.0
39.0,89.0,0.0,70.0,0.0,60.65,1.0
16.0,89.0,0.0,103.0,0.0,219.0,3.0
20.0,159.0,140.119140625,21.25,124.388888889,0.0,0.0
23.0,89.0,0.0,90.0,0.0,180.0,3.0
74.0,389.0,0.0,0.0,0.0,0.0,0.0
54.0,159.0,0.0,62.0333333333,66.2694444444,0.0,0.0
131.0,159.0,0.0,10.0,0.0,0.0,0.0
48.0,159.0,0.0,0.733333333333,53.1888888889,0.0,0.0
24.0,389.0,686.967122396,402.283333333,1572.10833333,0.0,0.0
24.0,89.0,0.0,89.0,0.0,177.0,3.0
13.0,89.0,0.0,0.0,0.0,0.0,0.0
31.0,159.0,0.04443359375,15.1066666667,1.47222222222,0.0,0.0
13.0,129.0,0.0,0.0,0.0,0.0,0.0
25.0,89.0,0.0,100.0,0.0,0.0,0.0
52.0,99.0,0.0,0.0,0.0,0.0,0.0
26.0,389.0,50.5708007812,391.0,185.469444444,3.0,1.0
43.0,159.0,0.0,4.0,0.0,0.0,0.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
39.0,159.0,118.623372396,19.4633333333,934.916666667,0.0,0.0
12.0,129.0,0.0,129.0,0.0,0.0,0.0
47.0,189.0,992.860188802,557.008333333,2743.08888889,0.0,0.0
63.0,19.0,205.530436198,83.7633333333,4.01111111111,65.56,4.0
18.0,89.0,20.6087239583,89.0,55.6611111111,0.0,0.0
23.0,289.0,30.3445638021,0.0,161.722222222,0.0,0.0
26.0,89.0,242.419270833,93.9083333333,204.358333333,55.81,1.0
16.0,389.0,0.0,0.0,0.0,0.0,0.0
28.0,89.0,0.0,89.0,0.0,1257.22,22.0
44.0,159.0,37.1318359375,62.4166666667,54.2722222222,5.0,1.0
21.0,89.0,0.0,89.8333333333,0.0,177.0,3.0
37.0,159.0,14.5073242188,0.2,389.994444444,0.0,0.0
39.0,69.0,0.0,60.0,570.266666667,0.0,0.0
16.0,89.0,0.0,1.83333333333,0.0,0.0,0.0
67.0,89.0,306.176106771,219.131666667,1276.02777778,69.78,1.0
34.0,159.0,15.1446940104,6.38333333333,133.8,0.0,0.0
53.0,159.0,0.0,5.0,0.0,0.0,0.0
34.0,159.0,0.0,1.66666666667,0.0,0.0,0.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
45.0,159.0,31.4967447917,9.9,147.944444444,0.0,0.0
29.0,159.0,5.55159505208,2.61,113.488888889,0.0,0.0
13.0,129.0,0.0,0.0,0.0,0.0,0.0
41.0,159.0,0.0,67.0,0.0,0.0,0.0
13.0,89.0,0.0,0.0,0.0,0.0,0.0
40.0,159.0,0.0,4.0,0.0,0.0,0.0
17.0,189.0,0.0,10.0,0.0,0.0,0.0
35.0,129.0,127.392089844,154.121666667,491.997222222,0.0,0.0
20.0,389.0,1532.87190755,397.931666667,720.927777778,32.76,1.0
23.0,89.0,0.0,89.0,0.0,20.33,1.0
36.0,159.0,0.0,9.0,0.0,0.0,0.0
23.0,159.0,0.0,10.0,0.0,0.0,0.0
18.0,389.0,1367.97770182,390.0,1122.50833333,0.0,0.0
38.0,159.0,0.0,0.0,0.0,0.0,0.0
41.0,129.0,97.4459635417,80.7166666667,508.983333333,0.0,0.0
28.0,100.0,765.940755208,184.631666667,241.666666667,456.24,1.0
28.0,389.0,0.0,389.0,0.0,43.23,1.0
26.0,389.0,0.0,0.0,0.0,0.0,0.0
12.0,389.0,0.0,0.0,0.0,0.0,0.0
12.0,39.0,142.923014323,54.13,2.96944444444,31.97,1.0
27.0,389.0,81.2786458333,2.91166666667,279.044444444,0.0,0.0
43.0,159.0,104.986490885,57.45,409.438888889,0.0,0.0
26.0,129.0,0.0,0.0,0.0,0.0,0.0
144.0,159.0,0.0,3.75,0.0,0.0,0.0
38.0,159.0,0.0,57.0,0.0,0.0,0.0
13.0,129.0,120.850423177,140.175,236.288888889,0.0,0.0
48.0,119.0,13.7296549479,7.53333333333,606.491666667,0.0,0.0
15.0,389.0,0.0,1.83333333333,0.0,0.0,0.0
51.0,99.0,0.0,2.0,0.0,0.0,0.0
151.0,159.0,0.0,3.75,0.0,0.0,0.0
41.0,159.0,0.0,10.0,0.0,0.0,0.0
64.0,199.0,92.5657552083,18.7166666667,651.683333333,0.0,0.0
60.0,159.0,129.702148438,103.263333333,1031.10555556,0.0,0.0
25.0,89.0,194.83203125,109.775,539.977777778,0.0,0.0
24.0,19.0,551.725097656,145.506666667,1006.49166667,0.0,0.0
39.0,89.0,1.75504557292,81.6666666667,416.061111111,0.0,0.0
22.0,89.0,259.529459635,90.0,164.544444444,0.0,0.0
41.0,199.0,0.0,4.01666666667,0.0,0.0,0.0
12.0,39.0,6.95182291667,41.225,164.244444444,15.35,1.0
14.0,159.0,49.6884765625,0.933333333333,286.866666667,0.0,0.0
62.0,99.0,0.0,1.0,254.133333333,0.0,0.0
40.0,46.0,5.95491536458,5.04833333333,150.988888889,0.0,0.0
37.0,159.0,74.7522786458,18.59,137.869444444,0.0,0.0
65.0,89.0,6.783203125,180.766666667,1180.94166667,0.0,0.0
25.0,289.0,1037.90266927,298.326666667,254.663888889,0.0,0.0
55.0,159.0,0.0,4.0,0.0,0.0,0.0
32.0,159.0,117.125976562,65.5166666667,579.736111111,0.0,0.0
56.0,159.0,0.0,0.0,0.0,0.0,0.0
20.0,389.0,1204.2405599,399.316666667,925.963888889,0.0,0.0
14.0,89.0,0.0,0.0,0.0,0.0,0.0
21.0,389.0,1398.98144531,390.666666667,88.2277777778,0.0,0.0
24.0,89.0,81.2517903646,97.0433333333,174.983333333,0.0,0.0
25.0,89.0,0.0,90.0,0.0,60.0,1.0
38.0,159.0,0.0,0.15,100.255555556,0.0,0.0
25.0,289.0,1341.35026042,290.0,738.869444444,0.0,0.0
69.0,129.0,116.345703125,99.925,395.747222222,108.3,1.0
24.0,89.0,0.0,90.0,0.0,478.15,8.0
52.0,159.0,0.0,0.0,0.0,0.0,0.0
20.0,159.0,0.0,0.05,70.2888888889,0.0,0.0
17.0,389.0,263.410970052,391.0,59.2111111111,0.0,0.0
26.0,129.0,0.0,0.0,0.0,0.0,0.0
24.0,89.0,0.0,90.0,0.0,0.0,0.0
28.0,129.0,428.535644531,156.0,6.43333333333,0.0,0.0
20.0,389.0,0.674967447917,0.0,124.6,0.0,0.0
27.0,159.0,64.2451171875,11.0133333333,56.7527777778,0.0,0.0
20.0,389.0,358.24593099,394.0,1204.63888889,0.0,0.0
28.0,389.0,342.084309896,392.175,1262.2,0.0,0.0
86.0,159.0,0.0,5.0,0.0,0.0,0.0
24.0,89.0,0.0,89.0,0.0,177.0,3.0
88.0,199.0,0.0,14.0,0.0,0.0,0.0
15.0,389.0,1224.22412109,395.81,504.441666667,0.0,0.0
47.0,159.0,95.90625,23.4866666667,600.455555556,0.0,0.0
24.0,89.0,0.0,95.0,0.0,65.0,1.0
28.0,189.0,0.0,189.0,0.0,387.0,3.0
48.0,159.0,0.0,0.0,0.0,0.0,0.0
28.0,100.0,987.289388021,248.131666667,232.711111111,289.7,1.0
16.0,189.0,0.0,0.0,0.0,0.0,0.0
32.0,69.0,0.0,60.0,0.0,82.43,2.0
28.0,100.0,498.439290365,131.803333333,713.813888889,109.0,1.0
39.0,89.0,3.072265625,81.6666666667,29.1555555556,0.0,0.0
27.0,389.0,407.370442708,6.0,15.7166666667,0.0,0.0
23.0,289.0,625.737304688,290.475,331.041666667,0.0,0.0
13.0,129.0,0.0,0.113333333333,0.0,0.0,0.0
12.0,159.0,146.678059896,69.8566666667,73.5027777778,0.0,0.0
13.0,129.0,0.0,0.0,0.0,0.0,0.0
13.0,89.0,0.0,1.23666666667,53.1944444444,0.0,0.0
24.0,289.0,0.0,290.0,0.0,0.0,0.0
47.0,159.0,0.0,62.0,0.0,0.0,0.0
50.0,159.0,0.0,10.0,0.0,0.0,0.0
133.0,159.0,0.0,10.0,0.0,0.0,0.0
27.0,389.0,1579.60709635,474.401666667,743.983333333,0.0,0.0
20.0,189.0,0.0,0.0,0.0,0.0,0.0
18.0,389.0,1341.25488281,398.0,332.172222222,0.0,0.0
28.0,389.0,560.411946615,390.0,716.0,0.0,0.0
27.0,389.0,150.016276042,472.633333333,1996.58055556,0.0,0.0
20.0,89.0,216.608886719,128.225,697.288888889,0.0,0.0
23.0,89.0,0.0,89.0,0.0,177.0,3.0
81.0,389.0,26.0476888021,395.0,1.49166666667,0.0,0.0
27.0,389.0,755.869303385,1.78666666667,271.791666667,0.0,0.0
24.0,159.0,0.0,49.0,0.0,0.0,0.0
25.0,89.0,0.0,89.0,0.0,177.0,3.0
26.0,389.0,1145.61197917,1.0,463.922222222,0.0,0.0
132.0,139.0,0.0,2.0,0.0,0.0,0.0
63.0,119.0,0.0,22.8833333333,379.455555556,0.0,0.0
20.0,189.0,824.207519531,196.933333333,824.622222222,0.0,0.0
27.0,389.0,178.357421875,0.0,982.169444444,0.0,0.0
28.0,389.0,0.0,0.0,378.513888889,0.0,0.0
24.0,89.0,0.0,90.0,0.0,0.0,0.0
20.0,389.0,135.967285156,390.0,231.147222222,0.0,0.0
32.0,159.0,0.0,0.0,0.0,0.0,0.0
24.0,159.0,0.0,20.47,0.0,0.0,0.0
28.0,389.0,0.0,12.5,0.0,0.0,0.0
69.0,159.0,1.43408203125,57.2,130.697222222,0.0,0.0
12.0,39.0,0.0,41.3,63.8111111111,45.23,2.0
